goos: linux
goarch: amd64
pkg: github.com/kellabyte/go-benchmarks/hashing
BenchmarkFarm/512-40        	20000000	       111 ns/op	4611.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkFarm/1024-40       	10000000	       172 ns/op	5929.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkFarm/4096-40       	 2000000	       549 ns/op	7459.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkFarm/8192-40       	 1000000	      1135 ns/op	7212.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkCity/1-40          	100000000	        13.4 ns/op	  74.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkCity/2-40          	100000000	        12.1 ns/op	 165.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkCity/4-40          	100000000	        13.1 ns/op	 305.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkCity/8-40          	100000000	        14.4 ns/op	 556.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkCity/32-40         	100000000	        15.5 ns/op	2065.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkCity/64-40         	50000000	        34.4 ns/op	1860.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkCity/128-40        	10000000	       143 ns/op	 890.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkCity/256-40        	10000000	       216 ns/op	1184.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkCity/512-40        	 3000000	       366 ns/op	1397.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkCity/1024-40       	 2000000	       681 ns/op	1502.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkCity/4096-40       	  500000	      2491 ns/op	1644.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkCity/8192-40       	  300000	      4968 ns/op	1648.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkMetro/1-40         	200000000	        10.1 ns/op	  99.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkMetro/2-40         	100000000	        11.3 ns/op	 176.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkMetro/4-40         	100000000	        10.0 ns/op	 399.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkMetro/8-40         	100000000	        10.7 ns/op	 747.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkMetro/32-40        	100000000	        16.2 ns/op	1977.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkMetro/64-40        	100000000	        20.0 ns/op	3205.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkMetro/128-40       	50000000	        27.2 ns/op	4700.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkMetro/256-40       	30000000	        42.0 ns/op	6096.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkMetro/512-40       	20000000	        64.7 ns/op	7913.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkMetro/1024-40      	10000000	       113 ns/op	9051.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkMetro/4096-40      	 3000000	       393 ns/op	10400.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkMetro/8192-40      	 2000000	       740 ns/op	11058.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkXXHash/1-40        	100000000	        17.4 ns/op	  57.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkXXHash/2-40        	100000000	        18.1 ns/op	 110.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkXXHash/4-40        	100000000	        16.5 ns/op	 242.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkXXHash/8-40        	100000000	        17.1 ns/op	 469.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkXXHash/32-40       	50000000	        25.8 ns/op	1241.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkXXHash/64-40       	50000000	        29.3 ns/op	2185.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkXXHash/128-40      	50000000	        34.9 ns/op	3670.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkXXHash/256-40      	30000000	        45.8 ns/op	5589.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkXXHash/512-40      	20000000	        69.1 ns/op	7405.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkXXHash/1024-40     	10000000	       127 ns/op	8044.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkXXHash/4096-40     	 3000000	       385 ns/op	10614.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkXXHash/8192-40     	 2000000	       699 ns/op	11704.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkXXFast/1-40        	200000000	         8.95 ns/op	 111.70 MB/s	       0 B/op	       0 allocs/op
BenchmarkXXFast/2-40        	100000000	        10.5 ns/op	 191.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkXXFast/4-40        	200000000	         9.12 ns/op	 438.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkXXFast/8-40        	100000000	        10.7 ns/op	 748.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkXXFast/32-40       	100000000	        17.0 ns/op	1884.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkXXFast/64-40       	100000000	        20.3 ns/op	3146.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkXXFast/128-40      	50000000	        27.7 ns/op	4617.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkXXFast/256-40      	30000000	        41.1 ns/op	6232.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkXXFast/512-40      	20000000	        62.0 ns/op	8256.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkXXFast/1024-40     	10000000	       109 ns/op	9335.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkXXFast/4096-40     	 5000000	       359 ns/op	11407.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkXXFast/8192-40     	 2000000	       691 ns/op	11840.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkFasthash/1-40      	200000000	         8.42 ns/op	 118.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkFasthash/2-40      	200000000	         8.73 ns/op	 229.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkFasthash/4-40      	100000000	        11.0 ns/op	 364.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkFasthash/8-40      	200000000	         8.14 ns/op	 982.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkFasthash/32-40     	100000000	        12.1 ns/op	2654.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkFasthash/64-40     	100000000	        17.4 ns/op	3678.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkFasthash/128-40    	50000000	        28.6 ns/op	4477.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkFasthash/256-40    	30000000	        49.7 ns/op	5149.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkFasthash/512-40    	20000000	        95.4 ns/op	5364.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkFasthash/1024-40   	10000000	       185 ns/op	5525.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkFasthash/4096-40   	 2000000	       675 ns/op	6061.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkFasthash/8192-40   	 1000000	      1372 ns/op	5969.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkHighway/1-40       	30000000	        43.0 ns/op	  23.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkHighway/2-40       	30000000	        44.2 ns/op	  45.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkHighway/4-40       	30000000	        44.7 ns/op	  89.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkHighway/8-40       	30000000	        41.7 ns/op	 191.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkHighway/32-40      	50000000	        38.1 ns/op	 839.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkHighway/64-40      	30000000	        43.5 ns/op	1470.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkHighway/128-40     	30000000	        54.1 ns/op	2365.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkHighway/256-40     	20000000	        72.5 ns/op	3533.23 MB/s	       0 B/op	       0 allocs/op
